Ticker,Company_Name,Last_Date,Last_Price,Stage,Signal,Detect_Date,Detect_Price,Note,RSI,Prev_RSI,RSI_Diff,RSI_Drop_Pct,RSI_30_Gap,RSI_20_Gap,RSI_Depth,RSI_Down_Streak,RSI_Rank20,RSI_Zscore20,BB_Days,BB_Close_Ratio,BB_Touch_Ratio,Lower_Shadow_Pct,Volume_Ratio,Exit_Dist_Pct,Upper_Shadow_Pct,Filter_Group_Id,Filter_Target_Index,Filter_Relative_Pos,Group_Id,Buy_Price,Target_Profit
7162.T,ASTMAX CO LTD,2026-06-05,274.0,3rd_VALLEY,BID,2026-02-03,205.0,Valley+LowerShadow+VolumeSpike,29.83,37.68,-7.84,-20.82,0.17,9.83,7.84,1.0,30.0,-0.09,4.0,0.0,0.25,2.5,4.31,-2.76,2.7,395,15470,0,395,205.0,1
7269.T,SUZUKI MOTOR CORP,2026-06-05,1865.5,3rd_VALLEY,BID,2026-01-29,2088.5,Valley+LowerShadow+VolumeSpike,28.14,31.63,-3.49,-11.04,1.86,8.14,3.49,10.0,5.0,-2.08,2.0,1.0,1.0,3.14,1.49,-4.3,2.64,398,15758,0,398,2088.5,0
7270.T,SUBARU CORPORATION,2026-06-05,2454.5,3rd_VALLEY,BID,2026-05-11,2319.5,Valley+LowerShadow+VolumeSpike,26.48,32.88,-6.4,-19.47,3.52,6.48,6.4,3.0,5.0,-1.55,2.0,1.0,1.0,3.2,1.85,-1.02,5.52,399,15766,0,399,2319.5,1
7272.T,YAMAHA MOTOR CO,2026-06-05,1224.0,3rd_VALLEY,BID,2026-02-04,1060.5,Valley+LowerShadow+VolumeSpike,29.85,47.03,-17.18,-36.54,0.15,9.85,17.18,1.0,5.0,-1.94,2.0,1.0,1.0,2.66,1.67,-1.1,2.79,403,15790,0,403,1060.5,1
7325.T,IRRC CORPORATION,2026-06-05,701.0,3rd_VALLEY,BID,2026-01-13,819.0,Valley+LowerShadow+VolumeSpike,25.34,30.25,-4.91,-16.24,4.66,5.34,4.91,4.0,5.0,-1.4,3.0,0.0,0.0,5.81,2.68,-2.38,2.68,404,15898,0,404,819.0,1
7351.T,GOODPATCH INC,2026-06-08,467.0,3rd_VALLEY,BID,2026-03-04,444.0,Valley+LowerShadow+VolumeSpike,28.45,31.11,-2.66,-8.56,1.55,8.45,2.66,4.0,5.0,-1.53,16.0,0.0,0.0,2.78,1.7,-1.63,4.53,406,15946,0,406,444.0,1
7369.T,MEIHO HOLDINGS INC,2026-06-08,461.0,3rd_VALLEY,BID,2026-04-28,491.0,Valley+LowerShadow+VolumeSpike,27.69,40.67,-12.98,-31.93,2.31,7.69,12.98,1.0,5.0,-1.34,2.0,1.0,1.0,2.51,1.45,-2.81,4.95,411,16086,0,411,491.0,1
7524.T,MARCHE CORP,2026-06-05,172.0,3rd_VALLEY,BID,2026-03-31,164.0,Valley+LowerShadow+VolumeSpike,28.22,51.29,-23.07,-44.98,1.78,8.22,23.07,1.0,5.0,-3.06,2.0,1.0,1.0,4.46,4.12,-1.61,2.37,419,16510,0,419,164.0,1
7537.T,MARUBUN CORP,2026-06-05,1717.0,3rd_VALLEY,BID,2026-03-09,1139.0,Valley+LowerShadow+VolumeSpike,27.4,36.52,-9.12,-24.97,2.6,7.4,9.12,3.0,5.0,-3.18,3.0,0.33,0.67,2.15,1.94,-2.49,2.16,422,16542,0,422,1139.0,1
7701.T,SHIMADZU CORP,2026-06-08,3804.0,3rd_VALLEY,BID,2026-05-13,3498.0,Valley+LowerShadow+VolumeSpike,29.88,35.13,-5.25,-14.96,0.12,9.88,5.25,3.0,5.0,-2.27,3.0,0.33,1.0,3.25,2.96,-2.13,2.97,433,17026,0,433,3498.0,1
7731.T,NIKON CORP,2026-06-05,1945.5,3rd_VALLEY,BID,2026-04-27,1680.0,Valley+LowerShadow+VolumeSpike,29.17,43.82,-14.65,-33.43,0.83,9.17,14.65,2.0,5.0,-2.91,2.0,1.0,1.0,3.86,1.95,-1.47,5.21,435,17118,0,435,1680.0,1
7809.T,KOTOBUKIYA CO LTD,2026-06-08,1339.0,3rd_VALLEY,BID,2026-03-31,1343.0,Valley+LowerShadow+VolumeSpike,19.92,43.45,-23.53,-54.16,10.08,-0.08,23.53,2.0,5.0,-2.92,2.0,1.0,1.0,2.36,1.71,-1.94,3.49,439,17314,0,439,1343.0,1
7812.T,CRESTEC INC,2026-06-05,2034.0,3rd_VALLEY,BID,2026-02-16,1889.0,Valley+LowerShadow+VolumeSpike,28.57,31.56,-2.98,-9.45,1.43,8.57,2.98,1.0,65.0,1.27,2.0,0.5,0.5,2.11,12.03,-4.06,4.78,442,17342,0,442,1889.0,1
7814.T,JAPAN CREATIVE PLATFORM GRP CO,2026-06-08,594.0,3rd_VALLEY,BID,2026-02-02,752.0,Valley+LowerShadow+VolumeSpike,27.89,31.14,-3.25,-10.44,2.11,7.89,3.25,1.0,35.0,0.85,17.0,0.0,0.0,2.17,2.47,-4.61,2.78,443,17354,0,443,752.0,0
8006.T,YUASA FUNASHOKU CO,2026-06-05,1495.0,3rd_VALLEY,BID,2026-03-26,1696.0,Valley+LowerShadow+VolumeSpike,29.12,32.28,-3.16,-9.78,0.88,9.12,3.16,1.0,6.2,-0.71,44.0,0.0,0.05,2.23,3.6,-1.57,2.47,468,18062,0,468,1696.0,1
8040.T,TOKYO SOIR CO,2026-06-05,1037.0,3rd_VALLEY,BID,2026-05-15,1046.0,Valley+LowerShadow+VolumeSpike,29.6,48.7,-19.1,-39.22,0.4,9.6,19.1,2.0,5.9,-1.04,84.0,0.0,0.04,2.95,4.96,-3.59,2.08,472,18170,0,472,1046.0,0
8056.T,BIPROGY INC,2026-06-05,4610.0,3rd_VALLEY,BID,2026-02-05,4684.0,Valley+LowerShadow+VolumeSpike,21.54,37.46,-15.92,-42.49,8.46,1.54,15.92,1.0,5.0,-2.19,2.0,1.0,1.0,2.25,4.71,-4.42,2.08,473,18210,0,473,4684.0,0
