Ticker,Company_Name,Last_Date,Last_Price,Stage,Signal,Detect_Date,Detect_Price,Note,RSI,Prev_RSI,RSI_Diff,RSI_Drop_Pct,RSI_30_Gap,RSI_20_Gap,RSI_Depth,RSI_Down_Streak,RSI_Rank20,RSI_Zscore20,BB_Days,BB_Close_Ratio,BB_Touch_Ratio,Lower_Shadow_Pct,Volume_Ratio,Exit_Dist_Pct,Upper_Shadow_Pct,Filter_Group_Id,Filter_Target_Index,Filter_Relative_Pos,Group_Id,Buy_Price,Target_Profit
3484.T,INNOVATION HOLDINGS CO LTD,2026-06-08,1043.0,3rd_VALLEY,BID,2026-03-30,1127.0,Valley+LowerShadow+VolumeSpike,24.08,32.31,-8.24,-25.49,5.92,4.08,8.24,3.0,5.0,-1.96,2.0,1.0,1.0,3.68,1.85,-3.31,2.61,103,4962,0,103,1127.0,0
3491.T,GA TECHNOLOGIES CO LTD,2026-06-05,1508.0,3rd_VALLEY,BID,2026-03-23,1274.0,Valley+LowerShadow+VolumeSpike,29.6,41.19,-11.59,-28.14,0.4,9.6,11.59,2.0,5.0,-2.98,2.0,1.0,1.0,2.08,1.55,-4.06,2.76,104,5002,0,104,1274.0,1
3635.T,KOEI TECMO HOLDINGS CO LTD,2026-06-05,1470.5,3rd_VALLEY,BID,2026-01-27,1737.0,Valley+LowerShadow+VolumeSpike,28.74,31.57,-2.83,-8.97,1.26,8.74,2.83,3.0,5.0,-2.36,2.0,1.0,1.0,3.86,3.09,-3.49,3.73,105,5354,0,105,1737.0,1
3661.T,M UP HOLDINGS INC,2026-06-08,644.0,3rd_VALLEY,BID,2026-02-17,674.0,Valley+LowerShadow+VolumeSpike,29.71,30.73,-1.01,-3.3,0.29,9.71,1.01,7.0,5.0,-1.37,14.0,0.0,0.07,2.43,2.56,-1.61,3.5,116,5486,0,116,674.0,1
3663.T,CELSYS INC,2026-06-08,1685.0,3rd_VALLEY,BID,2026-02-17,1278.0,Valley+LowerShadow+VolumeSpike,23.96,31.58,-7.62,-24.12,6.04,3.96,7.62,3.0,5.0,-2.33,2.0,1.0,1.0,2.9,1.43,-4.39,2.73,121,5518,0,121,1278.0,1
3672.T,ALTPLUSINC,2026-06-08,28.0,3rd_VALLEY,BID,2026-03-04,40.0,Valley+LowerShadow+VolumeSpike,29.67,34.84,-5.18,-14.85,0.33,9.67,5.18,1.0,5.0,-2.07,3.0,0.33,1.0,5.26,1.95,9.23,20.83,122,5578,0,122,40.0,0
3672.T,ALTPLUSINC,2026-06-08,28.0,3rd_VALLEY,BID,2026-04-23,39.0,Valley+LowerShadow+VolumeSpike,27.53,33.65,-6.12,-18.2,2.47,7.53,6.12,2.0,5.0,-1.9,36.0,0.03,0.28,5.41,1.66,9.23,20.83,124,5586,0,124,39.0,0
3673.T,BROADLEAF CO LTD,2026-06-05,843.0,3rd_VALLEY,BID,2026-02-06,592.0,Valley+LowerShadow+VolumeSpike,27.84,30.56,-2.72,-8.9,2.16,7.84,2.72,6.0,5.0,-1.75,2.0,0.5,1.0,3.5,2.14,-0.73,3.72,125,5606,0,125,592.0,1
3695.T,GMO PRODUCT PLATFORM INC,2026-06-05,1650.0,3rd_VALLEY,BID,2026-02-09,2049.0,Valley+LowerShadow+VolumeSpike,25.27,34.69,-9.42,-27.15,4.73,5.27,9.42,1.0,6.2,-0.71,19.0,0.0,0.16,6.77,2.5,-4.39,3.41,129,5722,0,129,2049.0,0
3760.T,CAVE INTERACTIVE CO LTD,2026-06-08,620.0,3rd_VALLEY,BID,2026-03-04,616.0,Valley+LowerShadow+VolumeSpike,29.87,37.31,-7.45,-19.96,0.13,9.87,7.45,3.0,10.0,-1.15,31.0,0.0,0.0,2.16,2.43,0.78,2.57,136,5870,0,136,616.0,0
3763.T,PRO SHIP INC,2026-06-05,1652.0,3rd_VALLEY,BID,2026-02-06,1450.0,Valley+LowerShadow+VolumeSpike,28.88,38.77,-9.89,-25.51,1.12,8.88,9.89,1.0,5.0,-2.06,2.0,1.0,1.0,3.06,1.52,-3.16,2.96,141,5890,0,141,1450.0,1
3766.T,SYSTEMS DESIGN CO LTD,2026-06-08,1281.0,3rd_VALLEY,BID,2026-03-31,1195.0,Valley+LowerShadow+VolumeSpike,27.96,32.82,-4.86,-14.82,2.04,7.96,4.86,2.0,5.0,-1.8,17.0,0.06,0.24,2.93,3.1,-1.66,2.64,143,5910,0,143,1195.0,1
3769.T,GMO PAYMENT GATEWAY INC,2026-06-05,8007.0,3rd_VALLEY,BID,2026-01-29,8841.0,Valley+LowerShadow+VolumeSpike,29.46,33.0,-3.54,-10.74,0.54,9.46,3.54,1.0,40.0,-0.17,2.0,0.0,0.5,2.17,1.64,-0.91,2.75,144,5918,0,144,8841.0,0
3804.T,SYSTEM D INC,2026-06-08,440.0,3rd_VALLEY,BID,2026-02-19,502.67,Valley+LowerShadow+VolumeSpike,27.84,30.66,-2.82,-9.2,2.16,7.84,2.82,3.0,5.0,-2.51,2.0,1.0,1.0,5.31,4.52,-3.78,9.74,146,6046,0,146,502.67,0
3804.T,SYSTEM D INC,2026-06-08,440.0,3rd_VALLEY,BID,2026-04-24,584.0,Valley+LowerShadow+VolumeSpike,28.03,33.04,-5.01,-15.16,1.97,8.03,5.01,3.0,35.0,-0.43,35.0,0.0,0.03,2.28,3.03,0.08,6.7,147,6050,0,147,584.0,1
3807.T,FISCO LTD,2026-06-05,96.0,3rd_VALLEY,BID,2026-02-25,110.0,Valley+LowerShadow+VolumeSpike,29.31,32.43,-3.12,-9.63,0.69,9.31,3.12,2.0,60.0,0.72,20.0,0.0,0.05,2.8,2.06,-4.54,2.65,148,6062,0,148,110.0,0
3810.T,CYBERSTEP HLDGS INC,2026-06-05,176.0,3rd_VALLEY,BID,2026-05-07,211.0,Valley+LowerShadow+VolumeSpike,27.17,31.91,-4.74,-14.85,2.83,7.17,4.74,3.0,5.0,-2.39,2.0,1.0,1.0,3.94,1.66,22.25,16.85,150,6078,0,150,211.0,1
3845.T,I FREEK MOBILE INC,2026-06-05,242.0,3rd_VALLEY,BID,2026-01-22,223.0,Valley+LowerShadow+VolumeSpike,29.49,33.96,-4.47,-13.15,0.51,9.49,4.47,4.0,25.0,-0.49,2.0,1.0,1.0,2.76,2.29,-2.63,3.19,152,6210,0,152,223.0,1
3861.T,OJI HOLDINGS CORP,2026-06-05,778.9000244140625,3rd_VALLEY,BID,2026-05-15,857.0,Valley+LowerShadow+VolumeSpike,28.62,32.78,-4.16,-12.69,1.38,8.62,4.16,2.0,5.0,-1.6,21.0,0.05,0.1,6.37,2.15,-2.84,5.12,153,6250,0,153,857.0,0
3877.T,CHUETSU PULP PAPER,2026-06-05,2000.0,3rd_VALLEY,BID,2026-03-09,1934.0,Valley+LowerShadow+VolumeSpike,26.54,33.26,-6.72,-20.21,3.46,6.54,6.72,3.0,5.0,-2.84,3.0,0.33,1.0,2.65,2.33,-0.5,2.27,156,6278,0,156,1934.0,1
3900.T,CROWDWORKS INC,2026-06-05,605.0,3rd_VALLEY,BID,2026-04-27,612.0,Valley+LowerShadow+VolumeSpike,28.44,31.91,-3.47,-10.88,1.56,8.44,3.47,4.0,5.0,-2.61,2.0,1.0,1.0,2.0,1.55,-3.96,3.39,157,6306,0,157,612.0,1
3909.T,SHOWCASE INC,2026-06-05,204.0,3rd_VALLEY,BID,2026-03-09,228.0,Valley+LowerShadow+VolumeSpike,28.13,32.46,-4.33,-13.35,1.87,8.13,4.33,4.0,5.0,-1.9,2.0,1.0,1.0,5.07,2.11,-2.93,2.97,158,6382,0,158,228.0,1
3915.T,TERRASKY CO LTD,2026-06-08,2864.0,3rd_VALLEY,BID,2026-03-04,1545.0,Valley+LowerShadow+VolumeSpike,29.35,34.62,-5.27,-15.23,0.65,9.35,5.27,8.0,5.0,-2.02,2.0,0.5,1.0,2.59,1.42,-3.03,4.1,161,6434,0,161,1545.0,1
3922.T,PR TIMES CORPORATION,2026-06-08,2163.0,3rd_VALLEY,BID,2026-03-23,2022.0,Valley+LowerShadow+VolumeSpike,28.38,31.15,-2.77,-8.89,1.62,8.38,2.77,4.0,5.0,-2.4,2.0,1.0,1.0,2.33,2.62,0.23,4.94,165,6506,0,165,2022.0,1
3977.S,FUSION CO LTD JP,2026-06-05,456.0,3rd_VALLEY,BID,2026-01-15,517.0,Valley+LowerShadow+VolumeSpike,27.33,30.46,-3.13,-10.28,2.67,7.33,3.13,3.0,5.0,-1.64,2.0,0.5,0.5,4.44,2.06,-3.47,6.23,174,6754,0,174,517.0,1
3979.T,ULURU CO LTD,2026-06-05,398.0,3rd_VALLEY,BID,2026-04-14,340.0,Valley+LowerShadow+VolumeSpike,29.36,33.66,-4.3,-12.77,0.64,9.36,4.3,5.0,5.0,-1.8,24.0,0.04,0.21,2.1,3.11,-3.26,3.48,175,6762,0,175,340.0,1
3984.T,USER LOCAL INC,2026-06-05,1910.0,3rd_VALLEY,BID,2026-03-30,1384.0,Valley+LowerShadow+VolumeSpike,27.16,35.08,-7.92,-22.57,2.84,7.16,7.92,2.0,5.0,-1.39,24.0,0.04,0.17,2.52,2.47,3.67,2.18,178,6790,0,178,1384.0,1
4019.T,STAMEN CO LTD,2026-06-05,619.0,3rd_VALLEY,BID,2026-02-05,646.0,Valley+LowerShadow+VolumeSpike,27.17,32.23,-5.06,-15.7,2.83,7.17,5.06,1.0,5.9,-0.79,21.0,0.0,0.0,5.21,3.17,-3.36,3.13,189,7002,0,189,646.0,1
4020.T,BETREND CORPORATION,2026-06-05,677.0,3rd_VALLEY,BID,2026-02-24,727.0,Valley+LowerShadow+VolumeSpike,26.6,83.91,-57.31,-68.29,3.4,6.6,57.31,1.0,5.9,-1.13,21.0,0.0,0.0,2.11,1.69,-1.54,2.42,191,7010,0,191,727.0,0
4046.T,OSAKA SODA CO LTD,2026-06-05,1825.0,3rd_VALLEY,BID,2026-03-23,1725.0,Valley+LowerShadow+VolumeSpike,28.66,30.76,-2.1,-6.83,1.34,8.66,2.1,5.0,5.0,-1.34,3.0,0.0,0.33,2.43,1.47,-4.75,2.84,192,7074,0,192,1725.0,1
4069.T,BLUEMEME INC,2026-06-08,947.0,3rd_VALLEY,BID,2026-02-18,973.0,Valley+LowerShadow+VolumeSpike,16.47,36.99,-20.52,-55.47,13.53,-3.53,20.52,3.0,5.0,-2.61,2.0,1.0,1.0,4.85,5.03,-1.58,3.45,194,7214,0,194,973.0,1
4069.T,BLUEMEME INC,2026-06-08,947.0,3rd_VALLEY,BID,2026-05-08,1264.0,Valley+LowerShadow+VolumeSpike,29.73,31.99,-2.26,-7.07,0.27,9.73,2.26,3.0,40.0,-0.03,44.0,0.0,0.0,8.68,1.36,-4.44,4.88,195,7218,0,195,1264.0,0
4071.T,PLUS ALPHA CONSULTING CO LTD,2026-06-05,2690.0,3rd_VALLEY,BID,2026-02-05,2073.0,Valley+LowerShadow+VolumeSpike,28.34,41.15,-12.81,-31.13,1.66,8.34,12.81,2.0,5.0,-2.39,2.0,1.0,1.0,2.83,1.82,4.46,3.34,196,7226,0,196,2073.0,1
4113.T,TAOKA CHEMICAL CO,2026-06-05,710.0,3rd_VALLEY,BID,2026-03-09,983.0,Valley+LowerShadow+VolumeSpike,28.68,40.46,-11.77,-29.1,1.32,8.68,11.77,4.0,5.0,-3.08,25.0,0.04,0.04,4.57,3.4,-1.45,2.44,197,7310,0,197,983.0,0
4151.T,KYOWA KIRIN CO LTD,2026-06-05,2289.0,3rd_VALLEY,BID,2026-02-02,2335.5,Valley+LowerShadow+VolumeSpike,29.98,34.41,-4.42,-12.85,0.02,9.98,4.42,1.0,11.8,-0.24,19.0,0.0,0.05,4.5,4.11,-3.83,5.4,200,7358,0,200,2335.5,1
4179.T,G NEXT INC,2026-06-05,478.0,3rd_VALLEY,BID,2026-03-30,269.0,Valley+LowerShadow+VolumeSpike,28.79,30.15,-1.37,-4.53,1.21,8.79,1.37,4.0,5.0,-2.49,2.0,1.0,1.0,3.46,1.95,8.54,3.44,201,7426,0,201,269.0,1
4202.T,DAICEL CORPORATION,2026-06-05,1268.0,3rd_VALLEY,BID,2026-05-13,1158.0,Valley+LowerShadow+VolumeSpike,29.62,33.27,-3.66,-10.99,0.38,9.62,3.66,2.0,5.0,-1.1,31.0,0.0,0.06,4.09,2.01,-3.21,2.28,204,7506,0,204,1158.0,1
4270.T,BEEX INC,2026-06-05,2220.0,3rd_VALLEY,BID,2026-03-23,1907.0,Valley+LowerShadow+VolumeSpike,29.01,32.88,-3.87,-11.76,0.99,9.01,3.87,1.0,5.0,-1.22,2.0,0.5,0.5,2.25,2.1,-1.82,11.27,207,7738,0,207,1907.0,0
4346.T,NEXYZ GROUP CORPORATION,2026-06-05,734.0,3rd_VALLEY,BID,2026-04-30,716.0,Valley+LowerShadow+VolumeSpike,29.7,33.23,-3.52,-10.61,0.3,9.7,3.52,4.0,20.0,-0.92,2.0,1.0,1.0,2.29,1.55,-3.26,3.9,213,7950,0,213,716.0,0
4369.T,TRI CHEMICAL LABORATORIES INC,2026-06-08,3600.0,3rd_VALLEY,BID,2026-03-16,2607.0,Valley+LowerShadow+VolumeSpike,29.18,30.84,-1.65,-5.36,0.82,9.18,1.65,3.0,5.6,-1.24,47.0,0.0,0.02,5.93,4.7,-3.37,3.41,215,8010,0,215,2607.0,1
4370.T,MOBILUS CORP,2026-06-05,301.0,3rd_VALLEY,BID,2026-05-19,285.0,Valley+LowerShadow+VolumeSpike,28.75,33.33,-4.57,-13.72,1.25,8.75,4.57,1.0,5.0,-2.29,2.0,1.0,1.0,5.17,3.43,-3.18,5.92,216,8018,0,216,285.0,1
4377.T,ONE CAREER INC,2026-06-05,1943.0,3rd_VALLEY,BID,2026-02-09,2421.0,Valley+LowerShadow+VolumeSpike,28.74,31.66,-2.92,-9.21,1.26,8.74,2.92,2.0,5.6,-1.28,15.0,0.0,0.0,2.58,1.55,-1.95,4.28,217,8070,0,217,2421.0,0
4391.T,LOGIZARD CO LTD,2026-06-05,1113.0,3rd_VALLEY,BID,2026-02-18,1033.0,Valley+LowerShadow+VolumeSpike,24.87,34.98,-10.11,-28.91,5.13,4.87,10.11,2.0,5.0,-1.89,2.0,1.0,1.0,2.18,1.65,-1.97,2.12,223,8146,0,223,1033.0,1
4428.T,SINOPS INC,2026-06-08,630.0,3rd_VALLEY,BID,2026-02-16,750.0,Valley+LowerShadow+VolumeSpike,29.7,30.13,-0.43,-1.42,0.3,9.7,0.43,1.0,21.1,0.89,22.0,0.0,0.0,2.04,2.09,-0.07,2.68,234,8338,0,234,750.0,0
4443.T,SANSAN INC,2026-06-05,1603.0,3rd_VALLEY,BID,2026-02-06,1150.0,Valley+LowerShadow+VolumeSpike,24.09,32.17,-8.07,-25.1,5.91,4.09,8.07,3.0,5.0,-1.64,2.0,1.0,1.0,2.77,2.03,-4.32,2.77,235,8454,0,235,1150.0,1
4495.T,I CUBED SYSTEMS INC,2026-06-05,1925.0,3rd_VALLEY,BID,2026-02-05,2379.0,Valley+LowerShadow+VolumeSpike,27.7,35.08,-7.39,-21.05,2.3,7.7,7.39,2.0,5.0,-1.89,2.0,1.0,1.0,3.43,2.18,-3.46,2.13,240,8658,0,240,2379.0,0
4568.T,DAIICHI SANKYO COMPANY LIMITED,2026-06-05,2490.0,3rd_VALLEY,BID,2026-01-30,2836.0,Valley+LowerShadow+VolumeSpike,29.61,31.49,-1.88,-5.97,0.39,9.61,1.88,5.0,5.0,-1.58,2.0,0.5,1.0,5.66,2.42,-4.42,3.31,246,8886,0,246,2836.0,1
4678.T,SHUEI YOBIKO CO,2026-06-08,310.0,3rd_VALLEY,BID,2026-04-30,321.0,Valley+LowerShadow+VolumeSpike,26.14,30.42,-4.29,-14.09,3.86,6.14,4.29,5.0,5.0,-2.79,3.0,0.33,1.0,2.23,2.95,-0.99,4.93,256,9290,0,256,321.0,1
4686.T,JUSTSYSTEMS CORPORATION,2026-06-05,4050.0,3rd_VALLEY,BID,2026-02-09,4210.0,Valley+LowerShadow+VolumeSpike,21.51,31.37,-9.86,-31.44,8.49,1.51,9.86,1.0,5.0,-2.1,2.0,1.0,1.0,4.21,2.8,-0.42,2.17,257,9338,0,257,4210.0,0
4687.T,TDC SOFT INC,2026-06-08,952.0,3rd_VALLEY,BID,2026-03-30,899.0,Valley+LowerShadow+VolumeSpike,29.71,35.66,-5.95,-16.67,0.29,9.71,5.95,1.0,5.0,-1.87,2.0,0.5,1.0,2.16,1.6,-3.51,2.37,258,9346,0,258,899.0,1
4733.T,OBIC BUSINESS CONSULTANT,2026-06-05,6020.0,3rd_VALLEY,BID,2026-01-28,7631.0,Valley+LowerShadow+VolumeSpike,29.93,32.61,-2.68,-8.23,0.07,9.93,2.68,3.0,5.3,-1.45,2.0,0.0,0.0,6.89,3.22,2.19,4.46,264,9498,0,264,7631.0,0
4733.T,OBIC BUSINESS CONSULTANT,2026-06-05,6020.0,3rd_VALLEY,BID,2026-02-04,5830.0,Valley+LowerShadow+VolumeSpike,25.24,30.75,-5.51,-17.93,4.76,5.24,5.51,1.0,20.0,-0.93,2.0,1.0,1.0,3.08,4.1,2.19,4.46,266,9506,0,266,5830.0,1
4751.T,CYBER AGENT,2026-06-05,1412.0,3rd_VALLEY,BID,2026-02-06,1248.5,Valley+LowerShadow+VolumeSpike,25.58,40.22,-14.63,-36.39,4.42,5.58,14.63,3.0,5.0,-2.78,2.0,1.0,1.0,2.29,1.86,-4.75,2.77,269,9534,0,269,1248.5,1
4754.T,TOSNET CORP,2026-06-08,1514.0,3rd_VALLEY,BID,2026-03-30,1498.0,Valley+LowerShadow+VolumeSpike,29.09,30.04,-0.95,-3.15,0.91,9.09,0.95,4.0,5.0,-1.94,2.0,1.0,1.0,9.1,5.57,-2.15,2.46,270,9542,0,270,1498.0,1
4771.T,F M CO LTD,2026-06-05,2496.0,3rd_VALLEY,BID,2026-03-30,2113.0,Valley+LowerShadow+VolumeSpike,29.1,30.16,-1.06,-3.52,0.9,9.1,1.06,1.0,5.9,-0.8,9.0,0.0,0.0,4.81,1.86,-3.42,3.92,272,9638,0,272,2113.0,1
4812.T,DENTSU SOKEN INC,2026-06-08,2100.0,3rd_VALLEY,BID,2026-02-09,2137.0,Valley+LowerShadow+VolumeSpike,21.03,32.76,-11.73,-35.8,8.97,1.03,11.73,3.0,5.0,-2.11,2.0,1.0,1.0,2.44,1.36,0.84,2.33,275,9718,0,275,2137.0,0
4819.T,DIGITAL GARAGE,2026-06-05,1992.0,3rd_VALLEY,BID,2026-03-30,1916.0,Valley+LowerShadow+VolumeSpike,28.83,33.92,-5.08,-14.99,1.17,8.83,5.08,1.0,5.0,-1.58,2.0,1.0,1.0,2.3,1.66,-3.93,2.41,276,9738,0,276,1916.0,1
4890.T,TSUBOTA LABORATORY INCORPORATED,2026-06-05,230.0,3rd_VALLEY,BID,2026-02-09,287.0,Valley+LowerShadow+VolumeSpike,29.16,34.22,-5.06,-14.78,0.84,9.16,5.06,1.0,5.3,-1.32,19.0,0.0,0.0,9.96,7.13,8.27,9.92,281,9882,0,281,287.0,1
4890.T,TSUBOTA LABORATORY INCORPORATED,2026-06-05,230.0,3rd_VALLEY,BID,2026-02-17,264.0,Valley+LowerShadow+VolumeSpike,26.23,40.54,-14.31,-35.3,3.77,6.23,14.31,2.0,5.0,-2.13,2.0,1.0,1.0,2.33,1.82,8.27,9.92,282,9886,0,282,264.0,1
4936.T,AXXZIA INC,2026-06-05,339.0,3rd_VALLEY,BID,2026-03-09,357.0,Valley+LowerShadow+VolumeSpike,29.48,32.02,-2.54,-7.93,0.52,9.48,2.54,1.0,6.2,-0.71,24.0,0.0,0.08,2.29,1.82,-3.62,3.34,286,10110,0,286,357.0,0
5034.T,UNERRY INC,2026-06-05,2116.0,3rd_VALLEY,BID,2026-02-17,2060.0,Valley+LowerShadow+VolumeSpike,28.99,31.34,-2.35,-7.5,1.01,8.99,2.35,1.0,6.2,-0.71,28.0,0.0,0.0,3.78,1.99,-3.19,3.96,289,10330,0,289,2060.0,1
5248.T,TECHNOLOGIES INC,2026-06-08,473.0,3rd_VALLEY,BID,2026-03-11,513.0,Valley+LowerShadow+VolumeSpike,28.6,30.06,-1.46,-4.86,1.4,8.6,1.46,1.0,6.2,-0.71,46.0,0.0,0.0,10.32,4.28,2.1,3.14,300,10742,0,300,513.0,0
5255.T,MONSTARLAB INC,2026-06-05,92.0,3rd_VALLEY,BID,2026-02-20,120.0,Valley+LowerShadow+VolumeSpike,24.55,46.63,-22.08,-47.35,5.45,4.55,22.08,3.0,5.0,-3.32,2.0,1.0,1.0,15.38,7.84,-4.15,2.7,301,10770,0,301,120.0,0
5255.T,MONSTARLAB INC,2026-06-05,92.0,3rd_VALLEY,BID,2026-05-15,93.0,Valley+LowerShadow+VolumeSpike,28.1,32.12,-4.02,-12.52,1.9,8.1,4.02,2.0,35.0,-0.75,45.0,0.0,0.0,2.2,1.55,-2.42,8.04,302,10774,0,302,93.0,1
5341.T,ASAHI EITO HOLDINGS CO LTD,2026-06-05,192.0,3rd_VALLEY,BID,2026-01-20,235.0,Valley+LowerShadow+VolumeSpike,29.27,30.6,-1.32,-4.32,0.73,9.27,1.32,1.0,6.2,-0.71,11.0,0.0,0.0,4.91,1.38,-3.08,21.82,303,10958,0,303,235.0,0
5588.T,FAST ACCOUNTING CO LTD,2026-06-08,723.0,3rd_VALLEY,BID,2026-03-23,675.0,Valley+LowerShadow+VolumeSpike,28.22,38.22,-10.0,-26.16,1.78,8.22,10.0,2.0,5.0,-2.51,2.0,1.0,1.0,2.74,1.31,-4.12,4.05,305,11326,0,305,675.0,1
5644.T,METALART CORP,2026-06-05,7650.0,3rd_VALLEY,BID,2026-03-09,5030.0,Valley+LowerShadow+VolumeSpike,27.4,30.18,-2.77,-9.19,2.6,7.4,2.77,1.0,6.2,-0.71,42.0,0.0,0.0,3.39,1.79,-1.34,2.44,311,11462,0,311,5030.0,1
5858.T,STG CO LTD,2026-06-05,1136.0,3rd_VALLEY,BID,2026-03-25,1409.0,Valley+LowerShadow+VolumeSpike,28.7,37.24,-8.54,-22.93,1.3,8.7,8.54,2.0,5.0,-2.18,2.0,1.0,1.0,2.47,2.33,-2.86,2.57,314,11718,0,314,1409.0,1
5867.T,ES NETWORKS CO LTD,2026-06-05,1143.0,3rd_VALLEY,BID,2026-04-13,1162.0,Valley+LowerShadow+VolumeSpike,28.91,32.83,-3.92,-11.95,1.09,8.91,3.92,1.0,35.0,0.51,20.0,0.0,0.05,2.29,1.4,-1.94,3.89,315,11742,0,315,1162.0,0
5950.T,JAPAN POWER FASTENING CO,2026-06-05,143.0,3rd_VALLEY,BID,2026-05-07,166.0,Valley+LowerShadow+VolumeSpike,21.32,40.16,-18.84,-46.91,8.68,1.32,18.84,3.0,5.0,-3.39,2.0,1.0,1.0,3.11,4.2,1.82,18.97,316,11910,0,316,166.0,0
5950.T,JAPAN POWER FASTENING CO,2026-06-05,143.0,3rd_VALLEY,BID,2026-05-12,160.0,Valley+LowerShadow+VolumeSpike,29.92,33.89,-3.96,-11.7,0.08,9.92,3.96,3.0,5.0,-1.9,2.0,0.5,1.0,3.9,2.01,1.82,18.97,317,11914,0,317,160.0,0
5952.T,AMATEI INCORPORATED,2026-06-05,186.0,3rd_VALLEY,BID,2026-05-12,186.0,Valley+LowerShadow+VolumeSpike,29.55,35.36,-5.81,-16.44,0.45,9.55,5.81,2.0,5.0,-2.16,2.0,0.5,1.0,3.33,2.5,-3.07,4.64,319,11930,0,319,186.0,0
5952.T,AMATEI INCORPORATED,2026-06-05,186.0,3rd_VALLEY,BID,2026-05-18,176.0,Valley+LowerShadow+VolumeSpike,29.56,31.09,-1.53,-4.92,0.44,9.56,1.53,3.0,10.0,-1.69,2.0,1.0,1.0,2.92,2.03,-3.07,4.64,320,11934,0,320,176.0,1
6023.T,DAIHATSU INFINEARTH MFG CO LTD,2026-06-05,2758.0,3rd_VALLEY,BID,2026-03-09,2206.0,Valley+LowerShadow+VolumeSpike,25.96,32.9,-6.94,-21.1,4.04,5.96,6.94,3.0,5.0,-2.48,3.0,0.33,1.0,4.8,1.4,-3.69,2.46,325,12130,0,325,2206.0,1
6063.T,EMERGENCY ASSISTANCE JAPAN CO L,2026-06-05,882.0,3rd_VALLEY,BID,2026-03-04,927.0,Valley+LowerShadow+VolumeSpike,23.3,32.06,-8.77,-27.34,6.7,3.3,8.77,2.0,5.9,-1.12,38.0,0.0,0.03,3.11,2.24,0.5,3.17,327,12262,0,327,927.0,0
6069.T,TRENDERS INC,2026-06-05,614.0,3rd_VALLEY,BID,2026-02-17,817.0,Valley+LowerShadow+VolumeSpike,19.57,44.29,-24.71,-55.8,10.43,-0.43,24.71,2.0,5.0,-2.84,2.0,1.0,1.0,2.77,2.56,-3.82,2.38,329,12270,0,329,817.0,0
6098.T,RECRUIT HOLDINGS CO LTD,2026-06-08,10775.0,3rd_VALLEY,BID,2026-02-06,7062.0,Valley+LowerShadow+VolumeSpike,28.62,42.05,-13.44,-31.96,1.38,8.62,13.44,1.0,5.0,-1.46,2.0,1.0,1.0,3.94,2.01,-1.47,3.7,330,12410,0,330,7062.0,0
6155.T,TAKAMATSU MACHINERY CO,2026-06-08,472.0,3rd_VALLEY,BID,2026-05-11,475.0,Valley+LowerShadow+VolumeSpike,28.91,36.8,-7.88,-21.42,1.09,8.91,7.88,7.0,5.0,-2.94,44.0,0.02,0.09,5.56,6.94,-4.86,2.28,331,12534,0,331,475.0,0
6184.T,KAMAKURA SHINSHO LTD,2026-06-05,460.0,3rd_VALLEY,BID,2026-03-09,515.0,Valley+LowerShadow+VolumeSpike,27.62,31.72,-4.1,-12.94,2.38,7.62,4.1,4.0,5.0,-2.69,2.0,1.0,1.0,2.79,1.63,-3.41,2.11,337,12658,0,337,515.0,0
6193.T,VIRTUALEX HOLDINGS INC,2026-06-05,997.0,3rd_VALLEY,BID,2026-05-15,938.0,Valley+LowerShadow+VolumeSpike,25.65,53.26,-27.61,-51.83,4.35,5.65,27.61,1.0,5.0,-3.64,2.0,1.0,1.0,2.4,5.94,4.94,9.82,338,12686,0,338,938.0,1
6342.T,TAIHEI MACHINERY WORKS,2026-06-05,2761.0,3rd_VALLEY,BID,2026-05-01,2679.0,Valley+LowerShadow+VolumeSpike,28.86,37.0,-8.14,-22.0,1.14,8.86,8.14,1.0,5.0,-2.61,2.0,1.0,1.0,3.04,1.86,-4.92,3.5,344,13106,0,344,2679.0,1
6436.T,AMANO CORPORATION,2026-06-05,3530.0,3rd_VALLEY,BID,2026-01-30,3914.0,Valley+LowerShadow+VolumeSpike,27.78,35.34,-7.56,-21.4,2.22,7.78,7.56,4.0,5.0,-2.21,2.0,1.0,1.0,2.06,1.8,-0.74,2.34,354,13418,0,354,3914.0,0
6526.T,SOCIONEXT INC,2026-06-05,2730.5,3rd_VALLEY,BID,2026-03-09,1741.5,Valley+LowerShadow+VolumeSpike,28.83,34.08,-5.25,-15.42,1.17,8.83,5.25,4.0,5.0,-2.4,2.0,1.0,1.0,3.75,1.31,-3.59,5.16,355,13670,0,355,1741.5,1
6538.T,DISRUPTORS INC,2026-06-05,236.0,3rd_VALLEY,BID,2026-02-26,294.0,Valley+LowerShadow+VolumeSpike,27.92,31.71,-3.79,-11.96,2.08,7.92,3.79,3.0,5.0,-2.8,2.0,1.0,1.0,8.89,1.34,-1.12,7.11,356,13698,0,356,294.0,0
